Attendance,Coding_Score,DSA_Score,Aptitude,Communication,Projects,Internships,CGPA,Placement_Status
97,76,98,84,74,4,3,9.49,Placed
87,80,77,53,51,5,2,8.83,Placed
73,82,100,50,55,3,0,8.57,Placed
55,54,62,60,89,0,1,5.75,Placed
64,39,47,28,73,3,2,7.71,Placed
66,27,46,73,69,4,0,9.28,Placed
88,93,68,81,20,2,2,8.77,Placed
94,73,88,89,97,1,3,6.1,Placed
67,82,23,69,63,5,3,8.62,Placed
93,79,36,99,88,0,3,7.96,Placed
82,23,30,74,37,3,1,5.25,Placed
64,61,47,78,61,2,3,6.39,Placed
100,73,52,30,80,0,0,10.0,Placed
62,48,28,25,23,1,1,9.2,Placed
79,39,50,36,80,5,0,7.82,Placed
53,79,52,67,41,4,0,8.89,Placed
50,59,33,94,23,2,3,6.98,Placed
85,45,29,95,100,1,0,8.49,Placed
59,96,35,92,25,2,3,8.31,Placed
44,84,63,21,73,3,0,7.17,Placed
63,78,39,75,42,5,2,8.08,Placed
98,88,81,79,75,5,2,6.61,Placed
55,31,55,77,51,3,3,6.68,Placed
71,61,43,82,47,2,2,6.7,Placed
96,96,55,91,21,4,1,5.43,Placed
86,72,82,91,50,5,3,8.23,Placed
71,77,22,31,57,1,3,8.46,Placed
59,94,67,80,90,4,2,7.13,Placed
87,90,62,65,78,2,2,6.26,Placed
47,44,60,35,88,5,1,5.96,Placed
87,81,55,95,87,4,2,9.9,Placed
93,44,57,49,66,1,2,5.07,Placed
74,36,55,25,26,4,2,8.49,Placed
48,82,33,21,93,2,3,7.39,Placed
61,43,26,52,81,0,0,7.0,Placed
44,93,100,26,39,1,2,5.43,Placed
55,35,91,73,97,4,1,8.88,Placed
64,77,76,58,95,3,2,7.84,Placed
43,98,32,46,100,1,2,8.3,Placed
50,50,42,90,29,1,0,7.04,Placed
84,96,80,57,24,1,2,8.53,Placed
84,78,29,49,53,5,1,7.13,Placed
74,48,39,54,38,0,0,5.83,Placed
59,96,92,56,76,0,3,8.44,Placed
84,71,54,84,89,3,3,5.4,Placed
42,75,61,97,52,0,0,6.14,Placed
83,93,95,22,54,4,0,8.82,Placed
51,80,86,76,55,1,3,8.17,Placed
71,31,80,64,72,2,2,8.35,Placed
94,40,62,72,83,2,3,9.07,Placed
75,24,78,31,60,2,2,5.58,Placed
89,71,85,20,89,3,3,5.27,Placed
73,66,99,83,100,3,0,6.02,Placed
75,36,56,76,82,0,0,9.87,Placed
78,50,40,59,90,0,3,5.47,Placed
93,34,79,35,39,3,2,7.54,Placed
57,73,81,80,51,3,1,6.92,Placed
98,96,85,37,28,2,3,6.7,Placed
90,84,54,20,56,5,2,9.19,Placed
77,82,39,77,88,3,2,6.66,Placed
88,89,68,78,61,1,1,7.86,Placed
54,72,25,60,80,5,3,6.93,Placed
82,39,83,24,36,4,2,9.35,Placed
95,76,32,87,78,0,1,7.05,Placed
81,39,29,80,53,2,3,8.25,Placed
94,62,88,68,60,5,3,9.36,Placed
42,99,28,50,100,5,2,9.99,Placed
87,31,75,32,32,3,1,8.47,Placed
97,23,25,61,27,2,2,6.87,Placed
49,51,87,72,92,5,1,5.85,Placed
45,98,68,99,50,3,1,6.16,Placed
80,52,78,52,21,3,2,8.39,Placed
50,29,76,64,95,2,3,8.45,Placed
69,58,45,69,81,0,1,6.91,Placed
62,93,57,57,22,5,3,6.37,Placed
76,26,97,83,56,1,2,6.1,Placed
52,99,52,37,100,0,0,6.54,Placed
68,24,94,66,36,0,2,6.63,Placed
66,42,45,36,89,2,2,9.15,Placed
56,81,57,63,34,3,0,5.7,Placed
54,70,91,66,31,3,0,6.32,Placed
47,78,67,53,94,3,2,5.54,Placed
54,80,23,99,91,2,1,8.24,Placed
80,79,58,72,34,1,0,9.73,Placed
59,83,34,32,50,4,1,6.94,Placed
63,89,73,95,39,3,0,9.17,Placed
79,72,55,24,67,1,3,7.22,Placed
55,66,32,67,89,5,2,5.3,Placed
57,44,35,78,31,5,1,8.21,Placed
78,22,26,62,51,1,1,5.34,Placed
88,90,46,95,47,1,2,8.87,Placed
90,96,20,55,38,1,2,8.99,Placed
47,23,36,21,65,1,2,5.08,Placed
56,26,36,73,87,0,0,7.38,Placed
89,66,85,95,33,3,1,9.73,Placed
42,86,58,78,23,0,3,9.24,Placed
67,33,82,76,29,0,2,8.04,Placed
44,36,55,99,94,4,2,6.9,Placed
78,87,57,78,84,4,3,5.5,Placed
84,34,90,47,75,3,1,7.07,Placed
92,78,71,73,32,2,3,6.56,Placed
56,67,39,80,28,0,0,5.47,Placed
46,67,36,91,27,4,2,8.35,Placed
66,65,74,26,56,4,2,6.76,Placed
76,84,47,39,81,1,0,6.75,Placed
75,67,34,55,93,1,3,9.23,Placed
89,99,98,91,23,4,2,5.14,Placed
57,59,63,64,20,1,1,7.83,Placed
65,28,38,23,31,5,1,6.88,Placed
69,63,40,67,59,5,2,8.88,Placed
76,96,30,26,39,1,0,8.37,Placed
57,76,74,82,97,3,3,6.37,Placed
88,85,34,64,75,0,2,8.39,Placed
77,82,87,59,25,1,3,9.92,Placed
43,20,46,58,47,1,2,6.45,Placed
47,20,83,75,42,1,3,7.66,Placed
54,84,91,65,29,3,0,7.18,Placed
69,29,60,93,74,4,3,8.55,Placed
66,57,34,71,22,2,1,9.01,Placed
79,78,66,31,75,0,1,7.18,Placed
65,87,30,70,59,5,2,6.11,Placed
89,41,29,85,34,4,1,9.53,Placed
62,64,38,50,33,1,2,5.99,Placed
78,39,29,42,100,3,3,8.77,Placed
88,94,77,92,99,2,2,5.75,Placed
44,80,76,100,58,2,0,6.76,Placed
44,59,79,77,24,0,2,9.16,Placed
44,31,98,96,84,3,3,7.9,Placed
90,25,77,93,44,2,3,7.51,Placed
43,77,33,63,30,4,1,5.2,Placed
85,76,76,87,86,4,1,6.82,Placed
98,56,69,72,63,5,0,8.95,Placed
81,62,28,62,32,4,3,6.42,Placed
86,97,39,62,30,4,1,9.58,Placed
59,70,36,96,30,2,3,8.22,Placed
61,36,87,31,74,4,2,5.09,Placed
59,43,47,63,82,1,1,10.0,Placed
49,29,57,32,84,4,0,8.31,Placed
96,99,36,96,68,1,1,5.9,Placed
84,99,41,76,25,3,2,8.38,Placed
55,76,98,56,77,1,1,6.55,Placed
91,80,44,67,93,3,3,8.85,Placed
89,68,84,87,73,1,1,9.01,Placed
48,52,26,81,67,4,0,8.56,Placed
73,35,56,30,40,2,3,9.53,Placed
49,75,31,48,77,2,0,7.07,Placed
65,84,67,50,69,0,2,6.12,Placed
60,32,62,38,37,0,2,9.59,Placed
70,37,80,77,98,0,0,5.1,Placed
53,39,90,97,87,3,0,8.88,Placed
55,58,35,26,50,3,3,5.31,Placed
93,83,96,88,22,5,1,8.59,Placed
58,74,20,98,65,1,3,5.94,Placed
82,30,87,66,28,4,0,6.95,Placed
70,25,69,67,52,5,0,6.79,Placed
44,64,50,100,33,4,2,5.67,Placed
62,89,63,42,79,5,3,8.16,Placed
91,37,28,78,24,2,1,5.22,Placed
52,25,60,59,85,3,3,6.27,Placed
88,44,56,65,26,5,2,6.37,Placed
91,67,75,71,76,3,2,9.87,Placed
71,83,67,86,54,0,3,5.39,Placed
78,43,89,57,61,0,0,6.64,Placed
58,59,77,97,74,1,3,6.76,Placed
42,65,98,75,55,5,0,5.38,Placed
80,71,66,85,40,0,1,9.24,Placed
83,76,24,36,28,1,2,6.81,Placed
100,92,24,97,39,5,3,9.74,Placed
63,76,29,93,37,4,2,6.99,Placed
81,55,51,34,23,5,1,7.5,Placed
64,91,35,53,53,5,3,6.07,Placed
79,56,82,45,35,1,0,7.26,Placed
97,76,31,60,64,5,0,7.75,Placed
58,58,40,42,66,4,1,5.61,Placed
52,37,50,83,23,2,2,7.34,Placed
75,36,98,31,28,2,3,10.0,Placed
86,81,87,72,72,4,0,5.63,Placed
60,29,77,79,86,2,1,9.39,Placed
89,90,95,43,36,3,0,9.16,Placed
73,39,58,41,40,2,1,6.73,Placed
100,86,56,30,52,1,2,5.63,Placed
59,98,88,31,84,5,1,7.96,Placed
77,39,41,99,97,2,0,9.13,Placed
41,30,25,93,53,5,1,8.83,Placed
66,99,23,83,100,4,2,8.21,Placed
59,81,51,71,58,3,0,8.44,Placed
50,76,73,81,79,1,2,8.03,Placed
60,60,64,71,36,2,0,6.6,Placed
69,35,54,77,51,1,0,5.25,Placed
100,69,98,73,51,1,2,9.67,Placed
86,60,44,40,83,4,3,7.49,Placed
59,83,22,31,70,4,3,9.83,Placed
53,94,65,26,26,2,3,7.99,Placed
93,80,56,88,21,0,3,5.67,Placed
56,66,71,66,25,3,0,7.85,Placed
52,66,90,56,29,3,3,8.82,Placed
57,99,98,35,36,0,3,6.87,Placed
61,91,66,38,45,4,3,7.5,Placed
42,24,37,62,80,4,3,5.74,Placed
97,85,37,61,98,2,1,6.96,Placed
79,58,95,63,84,4,3,8.54,Placed
59,80,22,67,62,5,0,9.9,Placed
77,59,100,23,96,3,2,9.84,Placed
90,94,93,49,26,4,3,5.85,Placed
80,99,68,38,51,0,0,5.95,Placed
68,60,73,39,72,5,1,7.05,Placed
89,98,80,27,37,4,1,7.8,Placed
82,81,87,68,60,1,3,9.56,Placed
61,89,65,53,98,3,1,9.79,Placed
57,91,58,48,58,2,1,8.45,Placed
71,60,81,64,91,5,2,6.44,Placed
76,89,68,70,64,1,2,5.21,Placed
85,30,64,76,52,5,3,6.07,Placed
92,88,54,91,54,1,0,8.08,Placed
77,50,51,26,87,1,1,5.26,Placed
66,62,80,32,37,0,1,7.03,Placed
99,80,81,45,56,2,2,8.23,Placed
98,31,93,49,88,5,0,9.57,Placed
51,73,42,24,70,3,1,9.68,Placed
95,57,24,21,58,4,0,9.64,Placed
61,56,78,89,87,3,1,9.26,Placed
69,54,44,34,62,1,3,8.24,Placed
85,43,21,63,57,4,1,5.88,Placed
94,71,74,85,61,0,3,8.35,Placed
51,37,81,61,51,0,2,6.92,Placed
68,54,62,58,94,5,0,6.31,Placed
63,50,27,35,79,2,1,7.03,Placed
72,59,35,57,67,4,1,6.1,Placed
48,81,39,78,97,2,3,8.51,Placed
98,80,88,47,51,5,0,7.63,Placed
73,66,29,92,34,0,1,7.86,Placed
49,41,61,86,76,0,1,8.58,Placed
71,31,85,77,27,3,1,7.57,Placed
69,92,27,91,79,5,2,8.62,Placed
65,52,20,47,94,0,0,7.12,Placed
84,28,89,27,28,3,0,6.44,Placed
51,37,73,67,68,3,3,6.88,Placed
83,89,37,64,35,1,3,7.64,Placed
86,48,20,22,58,3,3,7.66,Placed
92,49,51,78,64,1,2,5.94,Placed
96,34,24,73,98,0,1,6.03,Placed
46,96,24,77,96,5,0,6.22,Placed
42,71,76,49,89,1,0,5.7,Placed
58,49,93,60,93,4,2,6.18,Placed
96,38,86,48,72,2,2,5.3,Placed
100,95,42,100,74,4,3,5.23,Placed
62,68,87,60,73,3,1,6.5,Placed
51,88,80,50,48,2,1,9.03,Placed
98,27,91,72,73,4,1,6.94,Placed
56,46,62,30,77,2,0,7.68,Placed
93,44,26,54,68,5,0,9.37,Placed
52,95,91,47,81,1,2,6.52,Placed
98,21,47,44,35,5,3,9.57,Placed
84,97,46,70,50,4,2,8.88,Placed
64,79,88,65,59,2,2,7.56,Placed
71,79,32,80,60,1,2,6.56,Placed
42,92,48,38,22,2,3,6.48,Placed
52,62,49,68,92,1,3,7.75,Placed
100,63,52,82,82,3,1,8.66,Placed
62,41,37,89,82,1,0,7.62,Placed
93,29,26,20,72,1,1,5.34,Placed
49,21,47,84,78,2,0,8.09,Placed
82,98,81,82,22,0,3,5.06,Placed
73,55,88,56,22,4,3,9.03,Placed
98,42,33,32,87,1,1,5.96,Placed
73,52,65,54,70,0,2,9.8,Placed
69,92,51,48,58,5,0,8.27,Placed
94,24,31,71,68,3,3,5.28,Placed
40,41,30,83,75,5,2,7.83,Placed
94,32,87,25,49,1,3,6.36,Placed
99,29,55,89,92,5,0,5.9,Placed
94,60,22,46,95,1,3,9.64,Placed
59,40,92,50,92,3,2,6.92,Placed
87,37,30,84,64,0,0,7.19,Placed
93,29,63,97,98,4,3,9.84,Placed
60,23,54,77,82,1,2,7.77,Placed
64,75,43,94,68,0,2,8.99,Placed
85,29,30,54,39,3,1,8.7,Placed
60,66,33,31,20,2,3,6.8,Placed
57,33,36,31,43,3,3,7.78,Placed
72,72,33,23,31,2,0,7.98,Placed
90,61,69,21,57,3,3,8.9,Placed
86,91,51,93,86,1,3,5.85,Placed
57,58,54,83,38,0,1,7.17,Placed
66,58,81,29,66,2,1,8.6,Placed
71,96,98,45,78,0,1,6.52,Placed
100,70,62,99,68,2,3,6.67,Placed
92,96,37,58,61,4,1,7.4,Placed
51,70,60,57,82,4,1,6.63,Placed
57,70,66,34,92,1,1,8.41,Placed
75,23,79,46,76,2,0,9.09,Placed
90,72,83,37,58,1,2,8.29,Placed
85,74,68,29,77,4,3,7.91,Placed
74,84,73,89,24,2,0,5.55,Placed
55,65,41,98,25,4,3,9.83,Placed
61,75,33,21,32,2,1,7.55,Placed
73,91,94,93,48,3,2,6.96,Placed
89,95,84,39,64,0,3,5.52,Placed
66,30,34,38,64,2,2,7.28,Placed
53,86,81,64,80,0,3,8.61,Placed
68,60,28,58,25,5,0,5.11,Placed
61,33,41,51,86,1,1,6.65,Placed
67,79,49,71,100,1,1,8.2,Placed
67,70,23,98,45,3,3,6.94,Placed
85,47,46,55,28,4,0,9.0,Placed
74,43,66,61,45,3,0,6.31,Placed
95,82,87,60,96,3,3,7.94,Placed
62,65,78,99,42,5,2,9.59,Placed
77,30,37,60,35,1,2,5.58,Placed
63,38,85,69,73,4,1,7.87,Placed
67,43,82,88,42,4,1,7.45,Placed
48,43,60,77,99,0,2,9.76,Placed
71,37,44,69,91,4,3,7.05,Placed
71,73,76,82,41,0,0,8.98,Placed
54,57,24,55,48,4,2,5.84,Placed
69,92,83,90,85,0,0,6.34,Placed
74,66,89,25,76,4,1,9.95,Placed
46,51,58,24,77,2,2,9.31,Placed
45,76,35,50,46,5,2,9.31,Placed
79,100,74,41,98,1,1,9.07,Placed
91,27,92,64,88,2,1,6.62,Placed
85,57,57,93,54,4,0,5.68,Placed
88,72,27,55,36,5,1,6.25,Placed
85,61,51,70,82,1,2,8.14,Placed
64,77,29,31,71,4,2,8.47,Placed
96,67,78,82,61,4,0,9.34,Placed
94,31,78,65,28,4,3,6.09,Placed
67,47,83,54,61,2,2,7.74,Placed
48,92,82,63,26,0,0,8.13,Placed
93,78,22,35,40,3,3,5.0,Placed
67,45,36,58,40,2,0,8.27,Placed
56,30,67,41,26,3,2,8.63,Placed
88,49,74,31,32,0,1,7.38,Placed
48,95,48,86,76,0,0,8.48,Placed
92,35,74,36,81,0,1,6.92,Placed
86,33,33,60,67,2,1,6.91,Placed
92,37,38,28,87,4,0,8.05,Placed
50,76,64,47,100,5,1,9.6,Placed
79,76,47,31,32,1,0,7.95,Placed
64,64,74,60,37,1,2,8.22,Placed
55,90,96,96,97,2,0,9.24,Placed
82,58,46,86,97,4,1,8.74,Placed
58,26,50,83,69,0,1,7.5,Placed
78,29,87,21,66,2,1,6.93,Placed
93,92,73,66,89,5,1,8.81,Placed
89,29,22,95,28,0,2,6.08,Placed
99,27,70,84,56,5,3,7.12,Placed
65,30,88,88,98,1,2,5.42,Placed
45,85,46,39,88,2,3,7.93,Placed
88,28,59,75,50,0,1,5.43,Placed
67,34,78,98,97,0,2,8.33,Placed
82,42,35,21,37,5,0,5.82,Placed
100,64,86,86,53,1,2,5.63,Placed
89,54,35,23,62,3,2,7.62,Placed
56,93,100,29,83,3,2,5.28,Placed
94,92,41,67,40,2,0,9.47,Placed
83,34,49,85,20,0,0,6.22,Placed
70,66,69,39,42,0,3,6.12,Placed
55,73,60,54,29,4,2,5.6,Placed
83,26,42,48,86,0,3,5.34,Placed
69,56,59,61,31,4,3,5.04,Placed
52,57,92,58,99,1,3,6.84,Placed
71,45,89,51,39,0,3,5.12,Placed
74,64,21,62,20,5,3,9.25,Placed
86,59,33,46,87,1,3,7.46,Placed
43,38,55,31,25,1,3,8.5,Placed
63,78,30,94,32,4,1,8.19,Placed
65,29,95,92,27,3,1,6.18,Placed
56,60,70,61,60,3,2,6.17,Placed
100,45,37,94,33,1,0,5.82,Placed
69,60,72,35,88,2,1,7.26,Placed
69,53,35,31,40,5,2,9.13,Placed
84,97,25,47,61,1,0,8.56,Placed
62,70,85,26,58,2,1,5.16,Placed
65,77,91,90,51,0,3,5.51,Placed
90,37,35,21,27,1,1,5.99,Placed
65,67,100,30,94,4,2,9.59,Placed
44,22,28,45,76,1,0,9.53,Placed
93,62,35,25,79,0,1,9.62,Placed
67,70,83,23,68,5,3,5.86,Placed
53,43,55,55,77,1,0,8.07,Placed
79,51,57,83,72,4,3,5.3,Placed
57,69,37,73,45,5,1,8.15,Placed
91,89,22,68,65,3,3,6.72,Placed
76,84,61,69,54,1,0,6.59,Placed
54,23,55,27,80,4,2,8.83,Placed
54,40,32,51,50,2,0,8.82,Placed
100,48,93,69,65,1,1,6.18,Placed
60,65,95,23,65,4,1,7.82,Placed
52,83,89,59,42,3,0,5.45,Placed
54,97,48,22,87,3,0,6.66,Placed
79,45,36,63,42,2,0,5.11,Placed
77,38,34,87,66,0,2,8.52,Placed
82,70,95,32,63,2,2,5.68,Placed
50,75,82,60,42,5,2,6.12,Placed
77,42,68,59,57,1,1,8.64,Placed
100,93,70,92,24,1,2,9.61,Placed
79,48,92,33,83,1,2,8.73,Placed
55,64,60,41,31,5,2,7.23,Placed
56,46,51,28,64,2,0,8.6,Placed
43,69,76,73,41,3,3,9.41,Placed
62,89,68,32,81,4,1,5.81,Placed
44,24,57,22,60,2,0,5.37,Placed
50,68,40,29,90,0,2,7.97,Placed
79,81,23,75,41,4,3,5.79,Placed
46,62,46,44,72,5,2,8.3,Placed
59,50,32,26,70,4,3,5.77,Placed
63,20,74,31,57,5,3,6.0,Placed
41,46,41,57,30,3,0,6.54,Placed
65,80,82,53,31,5,3,5.92,Placed
96,68,67,43,77,0,2,7.2,Placed
56,48,54,92,27,1,0,5.43,Placed
62,89,72,95,49,4,0,9.2,Placed
92,86,73,88,80,4,1,7.38,Placed
45,70,24,84,93,4,1,5.6,Placed
88,77,42,41,47,1,1,5.21,Placed
45,75,45,100,38,4,2,6.6,Placed
86,28,31,69,91,3,2,9.28,Placed
73,78,21,99,95,4,3,5.56,Placed
49,38,92,95,94,0,0,7.81,Placed
46,56,88,64,72,2,3,8.27,Placed
76,97,80,24,42,2,3,5.72,Placed
78,71,24,70,62,5,1,5.25,Placed
70,54,67,22,63,2,2,6.4,Placed
71,32,49,37,58,5,3,8.87,Placed
60,54,73,97,31,1,3,6.06,Placed
92,72,82,86,67,0,1,5.33,Placed
85,84,71,37,87,4,0,5.87,Placed
96,45,27,51,24,3,0,9.59,Placed
85,45,55,67,79,4,3,8.18,Placed
47,23,50,67,82,4,3,5.89,Placed
95,80,95,90,64,2,1,9.19,Placed
56,31,56,23,69,0,1,9.27,Placed
89,47,48,48,46,2,3,7.57,Placed
95,21,80,36,42,4,0,6.12,Placed
78,59,55,74,68,2,3,6.26,Placed
69,58,86,99,70,4,0,5.04,Placed
82,67,91,96,97,2,2,8.42,Placed
70,28,63,55,61,2,2,8.28,Placed
100,58,44,39,86,1,0,9.03,Placed
91,96,71,60,37,5,0,8.28,Placed
58,53,73,71,69,5,0,7.92,Placed
76,44,63,48,88,5,3,9.53,Placed
82,65,84,58,41,5,1,6.47,Placed
70,36,53,91,43,5,2,8.27,Placed
54,65,48,59,73,2,2,6.3,Placed
58,79,35,80,26,5,0,7.36,Placed
52,84,35,68,87,2,3,5.27,Placed
94,39,37,45,63,3,3,5.72,Placed
95,43,30,82,62,5,1,6.57,Placed
43,20,77,55,46,1,1,7.45,Placed
88,31,36,98,75,5,3,7.02,Placed
70,69,20,24,88,1,2,9.75,Placed
97,61,87,44,22,5,0,8.13,Placed
55,48,64,59,36,0,3,7.52,Placed
59,41,28,25,58,2,3,8.64,Placed
78,87,63,75,37,2,3,6.8,Placed
52,41,71,22,49,1,1,6.06,Placed
41,95,84,41,35,2,0,6.88,Placed
80,52,88,99,26,4,0,8.31,Placed
81,22,26,34,73,3,3,5.62,Placed
56,80,39,46,100,0,2,7.1,Placed
46,86,54,99,97,5,1,7.09,Placed
97,33,85,99,35,2,0,8.92,Placed
71,45,97,45,53,4,1,6.79,Placed
66,57,40,25,90,3,1,8.44,Placed
70,62,50,20,21,5,0,9.53,Placed
93,93,83,39,31,4,0,8.62,Placed
46,52,49,78,57,2,3,5.25,Placed
92,42,25,57,66,5,2,7.13,Placed
47,32,25,21,37,5,1,6.64,Placed
97,76,99,54,31,2,2,5.91,Placed
65,71,78,54,69,5,3,9.0,Placed
81,41,34,36,27,1,0,7.08,Placed
77,81,92,76,43,4,3,8.9,Placed
79,23,36,81,82,0,3,7.2,Placed
44,53,60,21,87,5,1,9.89,Placed
82,63,86,86,99,0,3,8.31,Placed
55,81,64,69,39,4,0,5.06,Placed
99,40,84,80,83,1,0,8.76,Placed
60,50,62,55,26,4,1,7.75,Placed
64,71,50,30,78,3,3,5.44,Placed
71,77,60,35,83,5,0,5.51,Placed
66,24,91,90,20,0,2,9.45,Placed
75,46,78,63,66,0,1,9.22,Placed
61,91,99,96,80,5,2,8.58,Placed
47,32,48,20,63,2,2,7.74,Placed
63,33,25,41,83,1,3,5.53,Placed
79,45,44,35,70,1,3,9.12,Placed
52,63,33,73,25,5,0,8.86,Placed
68,78,95,84,37,3,0,7.65,Placed
43,90,75,94,81,4,1,8.46,Placed
51,36,33,69,96,4,2,7.52,Placed
64,73,97,51,55,3,2,9.85,Placed
68,37,37,72,97,5,2,9.22,Placed
75,60,90,100,47,1,1,8.12,Placed
58,64,36,42,84,4,2,8.55,Placed
88,65,91,81,94,4,3,8.37,Placed
97,88,56,74,21,4,0,5.13,Placed
49,26,27,45,54,1,2,8.42,Placed
49,27,57,46,89,0,2,9.07,Placed
46,98,91,48,91,3,1,7.55,Placed
90,56,26,68,69,3,2,9.83,Placed
43,21,52,45,99,3,1,9.56,Placed
85,67,95,89,97,1,1,6.47,Placed
51,29,43,42,85,0,3,5.2,Placed
57,91,53,36,40,4,2,5.03,Placed
69,39,25,39,61,4,0,8.87,Placed
80,98,58,82,93,4,2,5.36,Placed
85,60,87,48,43,4,0,8.93,Placed
50,73,89,88,71,0,2,6.11,Placed
53,62,62,66,57,1,3,9.98,Placed
92,21,34,64,77,1,1,9.79,Placed
83,61,68,34,69,2,2,5.12,Placed
73,67,85,85,77,3,0,6.48,Placed
81,44,61,85,30,0,1,9.86,Placed
89,88,88,20,100,0,1,8.35,Placed
89,47,74,33,46,4,3,8.23,Placed
100,29,39,23,78,5,2,5.19,Placed
44,26,42,52,91,0,1,9.55,Placed
66,69,77,100,71,3,2,5.08,Placed
83,35,88,20,99,0,0,8.5,Placed
44,65,84,33,57,5,2,8.03,Placed
58,76,68,70,23,3,1,7.67,Placed
48,70,89,57,38,2,2,9.79,Placed
40,90,91,38,35,0,0,7.86,Placed
65,88,90,30,59,1,2,6.06,Placed
97,85,38,40,43,1,2,5.97,Placed
51,92,26,90,79,5,0,6.45,Placed
44,52,32,45,94,3,2,6.79,Placed
82,50,32,56,99,0,1,6.59,Placed
68,62,98,59,94,1,2,9.04,Placed
67,41,20,60,51,1,3,6.38,Placed
63,37,62,81,79,3,2,8.87,Placed
71,90,33,42,97,0,2,9.29,Placed
48,88,45,53,100,0,0,9.46,Placed
94,84,100,23,94,4,3,8.85,Placed
53,24,90,53,89,4,3,8.27,Placed
49,66,70,48,95,5,2,5.67,Placed
72,85,31,70,66,4,0,8.31,Placed
94,98,41,85,37,3,1,5.9,Placed
100,92,38,81,65,0,1,8.81,Placed
54,28,53,67,49,0,1,7.59,Placed
90,66,69,80,78,0,0,9.9,Placed
60,33,86,55,53,4,1,6.88,Placed
64,66,95,29,86,2,3,9.86,Placed
54,86,71,65,64,3,3,9.44,Placed
40,84,37,76,41,1,0,7.57,Placed
57,47,39,43,40,2,0,8.31,Placed
66,62,34,81,81,3,1,7.95,Placed
81,72,22,51,25,1,1,5.67,Placed
72,25,93,38,27,1,2,9.61,Placed
73,71,96,92,22,5,2,9.74,Placed
53,77,97,80,81,1,1,9.15,Placed
78,38,94,43,99,5,2,5.84,Placed
83,63,78,96,95,0,1,6.89,Placed
48,33,22,45,86,4,3,9.13,Placed
78,32,42,80,98,4,0,9.39,Placed
74,84,35,31,81,5,1,9.51,Placed
74,20,75,86,73,2,0,8.49,Placed
67,49,81,68,64,4,0,7.13,Placed
56,81,49,30,56,4,3,6.29,Placed
40,20,93,86,35,4,0,6.88,Placed
